id,name,description,material_category_id,alternative_names,scientific_name,distribution,variation_name,custom_id,version,is_verified,source,ingredients,created_at,updated_at,created_by
3237,AlMg3 (5754a),"Material from Idemat 2025 dataset - ",63,AlMg3 (5754a),,,,61e34920-b682-4130-92a1-e96e61174bce,1,false,Idemat 2025,,2025-07-29 14:50:38.14908,2025-07-29 14:50:38.149092,
3238,AlMg4.5Mn (5182),"Material from Idemat 2025 dataset - ",63,AlMg4.5Mn (5182),,,,02bde453-d614-4e6d-ad60-d36a19432ec2,1,false,Idemat 2025,,2025-07-29 14:50:38.645397,2025-07-29 14:50:38.645406,
3239,AlMgSi0.5 (6060 and 6063),"Material from Idemat 2025 dataset - ",63,AlMgSi0.5 (6060 and 6063),,,,b7f06f5d-1c23-4765-a47c-bdfd3328f2af,1,false,Idemat 2025,,2025-07-29 14:50:39.150988,2025-07-29 14:50:39.151005,
3240,AlMgSi0.7 (6005),"Material from Idemat 2025 dataset - ",63,AlMgSi0.7 (6005),,,,3a7b5c38-6a53-4146-9c3e-7c2fb97440e6,1,false,Idemat 2025,,2025-07-29 14:50:39.837064,2025-07-29 14:50:39.837079,
3241,AlMn1 (3003),"Material from Idemat 2025 dataset - ",63,AlMn1 (3003),,,,0fe86b38-7294-42d5-be81-f138b35b5955,1,false,Idemat 2025,,2025-07-29 14:50:40.434401,2025-07-29 14:50:40.434406,
3242,AlMn1.2Mg1 (3004),"Material from Idemat 2025 dataset - ",63,AlMn1.2Mg1 (3004),,,,8c0ab3e0-26c1-494a-9f65-2f7739e9c5b2,1,false,Idemat 2025,,2025-07-29 14:50:41.001603,2025-07-29 14:50:41.001612,
3243,AlSiMgMn (6009),"Material from Idemat 2025 dataset - ",63,AlSiMgMn (6009),,,,b16859da-4b5d-4a2d-af39-94b50870008e,1,false,Idemat 2025,,2025-07-29 14:50:41.766913,2025-07-29 14:50:41.766923,
3244,AlZnCuMg (7075),"Material from Idemat 2025 dataset - ",63,AlZnCuMg (7075),,,,1bcac660-c32a-465f-8697-36d36836835b,1,false,Idemat 2025,,2025-07-29 14:50:42.398971,2025-07-29 14:50:42.398982,
3245,G-AlCu4TiMg (204),"Material from Idemat 2025 dataset - ",63,G-AlCu4TiMg (204),,,,3d1f0bb8-f5ca-4da9-b4a5-c3881c554ba0,1,false,Idemat 2025,,2025-07-29 14:50:42.949381,2025-07-29 14:50:42.949394,
3246,G-AlMg3 (242),"Material from Idemat 2025 dataset - ",63,G-AlMg3 (242),,,,b42d957d-50c0-4ac0-aaf7-a68e98a92e4a,1,false,Idemat 2025,,2025-07-29 14:50:43.536605,2025-07-29 14:50:43.53661,
3247,G-AlMg5 (314),"Material from Idemat 2025 dataset - ",63,G-AlMg5 (314),,,,7ea9e0e9-da53-4caf-b575-a2c4fa4000cd,1,false,Idemat 2025,,2025-07-29 14:50:44.078745,2025-07-29 14:50:44.078757,
