slug,name,unit,data_type,category_id,id,created_by,alternative_name
mechanical_janka_hardness,Janka Hardness,"lbf, N",number,13,112,,
mechanical_metal_fatigue_strength,Fatigue Strength,"MPa, ksi",number,13,113,,
mechanical_metal_hardness,Hardness (Metal),"HB, HV, HRB, HRC",number,13,114,,
mechanical_modulus_of_rupture,Modulus of Rupture,"MPa, psi",number,13,115,,
mechanical_packing_factor,Packing factor,%,number,13,116,,
mechanical_poisson_ratio,Poisson ratio,,number,13,117,,
mechanical_product_use_resistance,Use resistance,martindale,number,13,118,,
mechanical_shore_hardness,Shore Hardness,"Shore A, Shore D",number,13,119,,
mechanical_specific_gravity,Specific Gravity (Basic),"g/1000, kg/1000",number,13,120,,
mechanical_specific_gravity_12_mc,Specific gravity (12% MC),"g/1000, kg/1000",number,13,121,,
mechanical_specific_volume,Specific volume,"m3/kg, cm3/g",number,13,122,,
mechanical_tensile_strength,Tensile strength,"GPa, MPa, TPa, Pa, Mpsi, ksi, psi",number,13,123,,
mechanical_void_ratio,Void ratio,%,number,13,124,,
mechanical_yield_strength,Yield strength,"GPa, MPa, TPa, Pa, Mpsi, ksi, psi",number,13,125,,
optical_transmittance,Transmittance,%,number,14,126,,
surface_adhesion,Adhesion,N/m,number,16,127,,
surface_contact_angle,Contact angle,°,number,16,128,,
surface_energy,Surface energy,J/m2,number,16,129,,
surface_porosity,Porosity,%,number,16,130,,
surface_roughness,Surface roughness,μm,number,16,131,,
surface_tension,Surface Tension,N/m,number,16,132,,
surface_use_resistance,Use resistance,martindale,number,16,133,,
impact_ecocost_source,Ecocost Source,"'Idemat 2025 (SSIM, CC BY-NC)', other",select,9,134,,
impact_environmental_hazards,Environmental Hazards,"high,medium,low",checkbox_group,9,135,,
impact_mitigation_amount,Mitigation Amount,co2ekg/kg,number,9,136,,
impact_mitigation,Mitigation,"yes,no",option,9,137,,
market_availability,Availability,"high,medium,low",option,12,138,,
market_price,Price,"€,$",repeater,12,139,,
mechanical_anisotropic_shrinkage_tr_ratio,Shrinkage: T/R Ratio,%,number,13,140,,
optical_color,Color,"HEX,RAL,PANTON,NCS,RGB,CMYK",color,14,141,,
optical_glossiness,Glossiness,%,slider,14,142,,
optical_opacity,Opacity,%,slider,14,143,,
optical_refractive_index,Refractive index,%,number,14,144,,
optical_transparency,Transparency,%,slider,14,145,,
product_fire_resistance,Fire resistance,"yes,no",option,15,146,,
market_location,Location,"Africa,Asia,South-Asia,Central-Asia,Europe,North-America,South-America,Oceania",location,12,147,,
market_distribution,Distribution,,text,12,148,,
surface_wettability,Surface wettability,%,number,16,149,,
thermal_coefficient_of_linear_thermal_expansion,Coefficient of Linear Thermal Expansion,µm/m·°C,number,15,150,,
thermal_conductivity,Thermal conductivity,"W/mK, W/cmK",number,15,151,,
thermal_expansion,Thermal expansion,%,number,15,152,,
thermal_flammability_rating,Flammability Rating,,select,15,153,,
thermal_glass_softening_point,Softening Point (Glass),"°C, °F",number,15,154,,
thermal_heat_deflection_temperature,Heat Deflection Temperature,°C,number,15,155,,
thermal_melting_point,Melting point,"°C, °F",number,15,156,,
thermal_shot_resistance,Thermal shot resistance,"°C, °F",number,15,157,,
thermal_specific_heat_capacity,Specific heat capacity,"J/g°K, J/kg°K",number,15,158,,
impact_ced_total,CED (Total),MJ,number,8,159,,
impact_ecocosts_esrs_e1,ecocosts ESRS E1,EURO E1,number,8,160,,
impact_ecocosts_esrs_e2,ecocosts ESRS E2,EURO E2,number,8,161,,
impact_ecocosts_esrs_e3,ecocosts ESRS E3,EURO E3,number,8,162,,
impact_ecocosts_esrs_e4,ecocosts ESRS E4,EURO E4,number,8,163,,
impact_ecocosts_esrs_e5,ecocosts ESRS E5,EURO E5,number,8,164,,
impact_ef_3_1_total,EF 3.1 Total,Pt,number,8,165,,
impact_recipe_ecosystem_toxicity,ReCiPe ecosystem toxicity,species.year,number,8,166,,
impact_recipe_ecotoxicity,ReCiPe ecotoxicity,Pt,number,8,167,,
impact_recipe_human_health,ReCiPe human health,Pt,number,8,168,,
impact_recipe_human_toxicity,ReCiPe human toxicity,DALY,number,8,169,,
impact_recipe_resource,ReCiPe resource,Pt,number,8,170,,
impact_recipe_resource_scarcity,ReCiPe resource scarcity,USD2013,number,8,171,,
impact_recipe2016_endpoint_ha,ReCiPe2016 endpoint H/A,Pt,number,8,172,,
impact_co2e_scope,CO2e Scope,"scope1,scope2,scope3",select,9,173,,
impact_co2e_source,CO2e Source,"'Idemat 2025 (SSIM, CC BY-NC)', other",select,9,174,,
market_applications,Common Applications,"'Construction & Infrastructure','Mobility & Transportation','Electrical & Electronics','Consumer Goods','Industrial Equipment & Machinery','Healthcare & Medical','Energy','Agriculture & Food Systems'",text,12,175,,
