id,material_id,value,value_min,value_max,test_standard,notes,source,is_verified,created_at,updated_at,property_id,property_category,unit,created_by
31222,3002,33.3633028,,,,,,false,2025-07-29 14:48:30.419449+00,2025-07-29 14:48:30.419454+00,162,,,
31223,3002,33.36562159,,,,,,false,2025-07-29 14:48:30.443078+00,2025-07-29 14:48:30.443085+00,163,,,
31224,3002,997.0748385,,,,,,false,2025-07-29 14:48:30.468489+00,2025-07-29 14:48:30.468494+00,164,,,
31225,3003,1.90,,,,,,false,2025-07-29 14:48:30.519388+00,2025-07-29 14:48:30.519393+00,76,,,
31226,3003,0.04,,,,,,false,2025-07-29 14:48:30.543332+00,2025-07-29 14:48:30.54334+00,74,,kg CO2e/kg,
31227,3003,1.4,,,,,,false,2025-07-29 14:48:30.568011+00,2025-07-29 14:48:30.568017+00,159,,,
31228,3003,0.0031225967,,,,,,false,2025-07-29 14:48:30.594022+00,2025-07-29 14:48:30.59407+00,172,,,
31229,3003,0.0012160487,,,,,,false,2025-07-29 14:48:30.62259+00,2025-07-29 14:48:30.622595+00,168,,,
31230,3003,0.0018183683,,,,,,false,2025-07-29 14:48:30.646914+00,2025-07-29 14:48:30.646922+00,167,,,
31231,3003,0.0000882,,,,,,false,2025-07-29 14:48:30.673724+00,2025-07-29 14:48:30.673728+00,170,,,
31232,3003,0.000000072904599,,,,,,false,2025-07-29 14:48:30.697388+00,2025-07-29 14:48:30.697396+00,169,,,
31233,3003,0.000000006724735,,,,,,false,2025-07-29 14:48:30.724903+00,2025-07-29 14:48:30.724913+00,166,,,
31234,3003,0.012350092,,,,,,false,2025-07-29 14:48:30.751892+00,2025-07-29 14:48:30.751898+00,171,,,
31235,3003,0.00036547958,,,,,,false,2025-07-29 14:48:30.782018+00,2025-07-29 14:48:30.782028+00,165,,,
31236,3003,0.0056669076,,,,,,false,2025-07-29 14:48:30.810269+00,2025-07-29 14:48:30.810276+00,160,,,
31237,3003,1.892131127,,,,,,false,2025-07-29 14:48:30.835837+00,2025-07-29 14:48:30.835842+00,161,,,
31238,3003,0.005772979606,,,,,,false,2025-07-29 14:48:30.864677+00,2025-07-29 14:48:30.864686+00,162,,,
31239,3003,0.005773756026,,,,,,false,2025-07-29 14:48:30.894109+00,2025-07-29 14:48:30.894116+00,163,,,
31240,3003,0.000531032483,,,,,,false,2025-07-29 14:48:30.923049+00,2025-07-29 14:48:30.923055+00,164,,,
31241,3004,0.09,,,,,,false,2025-07-29 14:48:30.978316+00,2025-07-29 14:48:30.978324+00,76,,,
31242,3004,0.42,,,,,,false,2025-07-29 14:48:31.005961+00,2025-07-29 14:48:31.005966+00,74,,kg CO2e/kg,
31243,3004,7.3,,,,,,false,2025-07-29 14:48:31.031922+00,2025-07-29 14:48:31.031932+00,159,,,
31244,3004,0.01000869,,,,,,false,2025-07-29 14:48:31.058036+00,2025-07-29 14:48:31.058043+00,172,,,
31245,3004,0.0091011693,,,,,,false,2025-07-29 14:48:31.089508+00,2025-07-29 14:48:31.089513+00,168,,,
31246,3004,0.00039820729,,,,,,false,2025-07-29 14:48:31.119044+00,2025-07-29 14:48:31.119049+00,167,,,
31247,3004,0.00050931309,,,,,,false,2025-07-29 14:48:31.145368+00,2025-07-29 14:48:31.145377+00,170,,,
31248,3004,0.00000054563365,,,,,,false,2025-07-29 14:48:31.173146+00,2025-07-29 14:48:31.173151+00,169,,,
31249,3004,0.0000000014726601,,,,,,false,2025-07-29 14:48:31.199385+00,2025-07-29 14:48:31.199391+00,166,,,
31250,3004,0.071332366,,,,,,false,2025-07-29 14:48:31.227431+00,2025-07-29 14:48:31.227438+00,171,,,
31251,3004,0.0000261,,,,,,false,2025-07-29 14:48:31.255738+00,2025-07-29 14:48:31.255743+00,165,,,
31252,3004,0.062970542,,,,,,false,2025-07-29 14:48:31.284512+00,2025-07-29 14:48:31.284518+00,160,,,
31253,3004,0.0230645493,,,,,,false,2025-07-29 14:48:31.312074+00,2025-07-29 14:48:31.312084+00,161,,,
31254,3004,0.0141210171,,,,,,false,2025-07-29 14:48:31.338748+00,2025-07-29 14:48:31.338753+00,162,,,
31255,3004,0.01435464702,,,,,,false,2025-07-29 14:48:31.36609+00,2025-07-29 14:48:31.366101+00,163,,,
31256,3004,0.00287567613,,,,,,false,2025-07-29 14:48:31.396675+00,2025-07-29 14:48:31.396684+00,164,,,
31257,3005,71.48,,,,,,false,2025-07-29 14:48:31.45691+00,2025-07-29 14:48:31.456915+00,76,,,
31258,3005,222.78,,,,,,false,2025-07-29 14:48:31.48585+00,2025-07-29 14:48:31.485856+00,74,,kg CO2e/kg,
31259,3005,3423.8,,,,,,false,2025-07-29 14:48:31.515118+00,2025-07-29 14:48:31.515131+00,159,,,
31260,3005,9.0422886,,,,,,false,2025-07-29 14:48:31.541399+00,2025-07-29 14:48:31.54141+00,172,,,
31261,3005,8.5339437,,,,,,false,2025-07-29 14:48:31.572731+00,2025-07-29 14:48:31.572738+00,168,,,
31262,3005,0.27338082,,,,,,false,2025-07-29 14:48:31.602861+00,2025-07-29 14:48:31.602868+00,167,,,
31263,3005,0.23496416,,,,,,false,2025-07-29 14:48:31.631183+00,2025-07-29 14:48:31.631197+00,170,,,
31264,3005,0.00051162732,,,,,,false,2025-07-29 14:48:31.656615+00,2025-07-29 14:48:31.656625+00,169,,,
31265,3005,0.0000010110237,,,,,,false,2025-07-29 14:48:31.684998+00,2025-07-29 14:48:31.685003+00,166,,,
31266,3005,32.908146,,,,,,false,2025-07-29 14:48:31.712453+00,2025-07-29 14:48:31.71246+00,171,,,
31267,3005,0.016509381,,,,,,false,2025-07-29 14:48:31.739276+00,2025-07-29 14:48:31.73928+00,165,,,
31268,3005,33.41655,,,,,,false,2025-07-29 14:48:31.766724+00,2025-07-29 14:48:31.766729+00,160,,,
31269,3005,29.17122654,,,,,,false,2025-07-29 14:48:31.795565+00,2025-07-29 14:48:31.795574+00,161,,,
31270,3005,26.1433091,,,,,,false,2025-07-29 14:48:31.82202+00,2025-07-29 14:48:31.822024+00,162,,,
31271,3005,23.1892091,,,,,,false,2025-07-29 14:48:31.84845+00,2025-07-29 14:48:31.848455+00,163,,,
31272,3005,5.9426257,,,,,,false,2025-07-29 14:48:31.886388+00,2025-07-29 14:48:31.886393+00,164,,,
